Product Name
Gram Dall
Fried Gram
SAJJALU
Pottu
Nunna
Fried Gram 30 kgs
Doopu dall
Tarakulu
Rejection
Kora Rice
Kora Rice 30 Kgs
Toor Dall
Moong Dall
Moong Dall 30 Kgs
Katukulu no 1
Katukulu no 2
CHANA
URAD ROUND
